Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
Guinea,2014-10-10,73.0,180.0,1097.0,1350.0,0.0,180.0,598.0,778.0
Sierra Leone,2014-10-10,320.0,37.0,2593.0,2950.0,35.0,142.0,753.0,930.0
United States of America,2014-10-15,,,2.0,2.0,,,1.0,1.0
Senegal,2014-10-15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2014-10-15,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Liberia,2014-10-15,1376.0,1923.0,950.0,4249.0,,,,2458.0
Spain,2014-10-15,,,1.0,1.0,,,0.0,0.0
Guinea,2014-10-15,98.0,190.0,1184.0,1472.0,0.0,190.0,653.0,843.0
Sierra Leone,2014-10-15,366.0,37.0,2849.0,3252.0,100.0,157.0,926.0,1183.0
Guinea,2014-10-17,111.0,191.0,1217.0,1519.0,0.0,191.0,671.0,862.0
Nigeria,2014-10-17,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2014-10-17,,,1.0,1.0,,,0.0,0.0
Senegal,2014-10-17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2014-10-17,,,3.0,3.0,,,1.0,1.0
Liberia,2014-10-17,,,,4262.0,,,,2484.0
Sierra Leone,2014-10-17,396.0,37.0,2977.0,3410.0,107.0,161.0,932.0,1200.0
Nigeria,2014-10-22,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2014-10-22,,,1.0,1.0,,,0.0,0.0
United States of America,2014-10-22,,,3.0,3.0,,,1.0,1.0
Sierra Leone,2014-10-22,446.0,37.0,3223.0,3706.0,109.0,164.0,986.0,1259.0
Senegal,2014-10-22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2014-10-22,1594.0,2106.0,965.0,4665.0,661.0,803.0,1241.0,2705.0
Guinea,2014-10-22,58.0,193.0,1289.0,1540.0,1.0,193.0,710.0,904.0
Mali,2014-10-25,,,1.0,1.0,,,1.0,1.0
United States of America,2014-10-25,,,4.0,4.0,,,1.0,1.0
Sierra Leone,2014-10-25,470.0,37.0,3389.0,3896.0,109.0,164.0,1008.0,1281.0
Spain,2014-10-25,,,1.0,1.0,,,0.0,0.0
Senegal,2014-10-25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2014-10-25,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2014-10-25,47.0,194.0,1312.0,1553.0,0.0,194.0,732.0,926.0
Liberia,2014-10-25,1594.0,2106.0,965.0,4665.0,661.0,803.0,1241.0,2705.0
Liberia,2014-10-29,2480.0,1540.0,2515.0,6535.0,,,,2413.0
Mali,2014-10-29,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
